,Unnamed: 0,Unnamed: 0.1,City,pkey,lat,lon,Temp0,Temp1,Temp2,Temp3,Temp4,Temp5,Temp6
0,0,0,Mont Saint Michel,1,48.6359541,-1.511459954959514,14.17,13.25,13.43,16.55,17.39,17.22,16.41
1,1,1,St Malo,2,48.649518,-2.0260409,13.91,12.91,13.86,16.4,17.17,16.93,16.5
2,2,2,Bayeux,3,49.2764624,-0.7024738,12.93,13.82,12.84,16.2,17.1,17.42,16.26
3,3,3,Le Havre,4,49.4938975,0.1079732,13.17,12.31,12.03,15.32,15.36,16.06,15.44
4,4,4,Rouen,5,49.4404591,1.0939658,11.94,12.22,12.18,16.23,16.5,17.48,16.61
5,5,5,Paris,6,48.8588897,2.3200410217200766,12.84,14.54,12.9,15.45,16.82,17.27,16.37
6,6,6,Amiens,7,49.8941708,2.2956951,11.29,14.04,12.47,16.1,15.85,17.33,16.51
7,7,7,Lille,8,50.6365654,3.0635282,12.23,13.41,12.19,16.11,14.64,17.05,16.23
8,8,8,Strasbourg,9,48.584614,7.7507127,11.38,12.22,11.3,14.51,14.53,14.73,13.83
9,9,9,Chateau du Haut Koenigsbourg,10,48.249489800000006,7.34429620253195,8.53,9.24,9.95,13.6,12.9,12.52,12.25
10,10,10,Colmar,11,48.0777517,7.3579641,12.12,12.15,12.66,16.45,15.46,15.23,15.22
11,11,11,Eguisheim,12,48.037458,7.2268206,12.12,12.15,12.66,16.45,15.46,15.23,15.22
12,12,12,Besancon,13,47.2380222,6.0243622,11.41,11.56,13.73,15.24,14.71,15.99,15.05
13,13,13,Dijon,14,47.3215806,5.0414701,11.31,11.9,12.34,15.9,15.52,15.01,15.26
14,14,14,Annecy,15,45.8992348,6.1288847,13.84,11.23,16.21,17.3,14.99,15.02,16.46
15,15,15,Grenoble,16,45.1875602,5.7357819,13.55,12.82,20.02,19.77,16.72,18.46,18.99
16,16,16,Lyon,17,45.7578137,4.8320114,12.95,12.02,14.7,16.75,16.02,14.65,16.6
17,17,17,Gorges du Verdon,18,43.7497,6.32859,16.41,16.81,17.68,18.37,16.4,16.42,15.69
18,18,18,Bormes les Mimosas,19,43.1506968,6.3419285,19.36,19.64,19.72,20.2,18.39,18.78,18.18
19,19,19,Cassis,20,43.2140359,5.5396318,18.81,19.6,19.99,20.52,18.62,18.4,18.45
20,20,20,Marseille,21,43.2961743,5.3699525,18.68,19.08,19.78,20.06,18.59,18.24,18.26
21,21,21,Aix en Provence,22,43.5298424,5.4474738,17.74,19.18,20.2,20.04,19.14,18.5,18.8
22,22,22,Avignon,23,43.9492493,4.8059012,18.39,15.02,18.56,19.98,18.33,18.23,18.6
23,23,23,Uzes,24,44.0121279,4.4196718,18.99,14.56,18.88,20.06,18.91,17.66,18.21
24,24,24,Nimes,25,43.8374249,4.3600687,19.75,15.59,19.04,20.34,19.77,18.51,18.72
25,25,25,Aigues Mortes,26,43.5658225,4.1912837,19.76,16.31,18.46,19.08,20.11,18.02,17.57
26,26,26,Saintes Maries de la mer,27,43.4522771,4.4287172,19.41,15.58,18.19,18.71,19.3,17.1,17.26
27,27,27,Collioure,28,42.52505,3.0831554,19.47,18.71,18.03,20.01,21.04,17.72,17.91
28,28,28,Carcassonne,29,43.2130358,2.3491069,15.63,16.98,18.63,20.04,18.66,19.47,19.02
29,29,29,Ariege,30,42.9455368,1.4065544156065486,10.42,10.86,13.79,12.77,12.06,13.56,14.17
30,30,30,Toulouse,31,43.6044622,1.4442469,16.46,14.67,16.89,17.54,17.27,17.79,18.88
31,31,31,Montauban,32,44.0175835,1.3549991,15.44,13.84,16.31,17.48,17.39,17.08,18.97
32,32,32,Biarritz,33,43.47114375,-1.552726590666314,15.83,14.84,17.08,15.98,17.93,18.35,18.87
33,33,33,Bayonne,34,43.4933379,-1.475099,16.43,15.54,17.71,16.56,18.71,19.03,19.86
34,34,34,La Rochelle,35,46.1591126,-1.1520434,13.44,13.59,14.26,16.46,15.59,16.8,16.46
